,,,,,,,,,Features,,,,,,,,,,
90,Pheasant-tailed Jacana,Hydrophasianus chirurgus,Jacanidae,Jacana,Least Concern (LC),Schedule-II,Partially Migratory,জলময়ূর (Jolmayur),39-58 cm,"The Pheasant-tailed Jacana is a unique, long-tailed wader of tropical Asian wetlands, distinguished by its ability to walk on water-lily pads using oversized feet. In breeding plumage, the male boasts a long, striking, pheasant-like tail, while females are more colorful and exhibit polyandry, maintaining harems of males. They inhabit marshes and lakes with floating vegetation, feeding on insects and small aquatic creatures. ","The male is smaller and lacks the elaborate breeding plumage seen in the female. After mating, he assumes responsibility for the nest, taking over incubation duties. He incubates the eggs, builds or relocates the nest if necessary, and raises the chicks, including defending them from potential predators.","The female is larger and displays striking breeding plumage, highlighted by a long, elegant tail. She is the dominant partner in courtship, actively initiating mating and often mating with multiple males during a single breeding season.",,"The Pheasant-tailed Jacana breeds in parts of tropical India, with key breeding sites found in states like Punjab, Uttar Pradesh, West Bengal, Bihar, and Assam. They are also found during their non-breeding (wintering) season in other southern Indian states, such as Andhra Pradesh",,Monotype,,,
91,Pied Kingfisher,Ceryle rudis,Alcedinidae,Kingfisher,Least Concern (LC),Schedule-II,Generally Resident,ফাটকা  মাছরাঙা ,25 cm,"The Pied Kingfisher is a distinctive medium-sized, black-and-white water bird with a prominent crest and a glossy black bill. It is characterized by its ability to hover over water before diving to catch fish.","Male has two distinct, continuous black bands across the breast.",Female has a single breast band that is often broken in the middle.,,"Pied Kingfisher is widely distributed across the plains of India, found in most states with suitable waterside habitats like lakes, rivers, and mangroves. ",,"Ceryle rudis leucomelanurus
Ceryle rudis travancoreensis
Ceryle rudis rudis
Ceryle rudis insignis",,,
92,Plaintive Cuckoo,Cacomantis merulinus,Cuculidae,Cuckoo,Least Concern (LC),Schedule IV,Migratory,পীক ,21–24 cm,"The plaintive cuckoo is a small, 21–24 cm long bird with a slender build, often heard but hard to spot, which has a grey head, throat, and upper breast, a brownish or gray-brown back and wings, an orange or rufous-buff belly, and a dark-tipped white tail. It is a brood parasite, meaning it lays its eggs in the nests of other birds. Females can have a reddish-brown ""hepatic morph"" with black barring, a pale eye stripe, and a darker, barred tail. ","Male: Gray head, chin, and upper breast; rest of upperparts are dark gray with some rufous on the wing-coverts; underparts are pale orange-buff; tail is dark with white tips. No rufous morph has been recognized for the male in this species. ","Gray Morph (Typical Appearance): Similar to the male but with a slightly paler gray throat and more brown on the breast and tail, with narrower whitish barring on the abdomen. Rufous (Hepatic) Morph:This morph is largely reddish-brown (or rusty brown) above, including the throat and breast. The underparts are paler but feature dark barring. The tail also shows dark barring along its whole length. ",,"Uttarakhand, Uttar Pradesh, Bihar, West Bengal, and the entire Northeast) and also a presence in the Western Ghats in South Karnataka, Kerala, and parts of Tamil Nadu",,"Cacomantis merulinus querulus
Cacomantis merulinus threnodes
Cacomantis merulinus lanceolatus
Cacomantis merulinus merulinus",Common hawk-cuckoo,,
93,Purple Heron,Ardea purpurea,Ardeidae,Heron,Least Concern (LC),Schedule-II,Resident,লাল কাক ,78-90 cm,"The Purple Heron is a large, slender, long-legged heron with reddish-brown and purplish-gray plumage, a long yellow bill, and a dark plumed cap. It is smaller and more graceful than a Grey Heron, with darker, chestnut-colored plumage and a narrower bill. Purple Herons inhabit wetlands, prefering dense reed beds, and are stealthy hunters that stalk or wait in ambush for fish, frogs, insects, and rodents.  ","The male is noticeably larger and heavier than the female. His plumage tends to be darker, often slate-grey or reddish-brown, with a distinctive purple gloss. The plumes on the back and wing coverts can appear more lustrous, adding to his striking appearance. During the breeding season, the male may exhibit even brighter plumage on his back and wings, enhancing his display.","The female is generally smaller and lighter, with plumage that is more subdued compared to the male. She is typically olive-grey in color, with buff-colored plumes on the scapulars and mantle. Her overall appearance is softer and less glossy, lacking the intense sheen that characterizes the male, even during the breeding season.",,Purple Heron is found across India.,,"Ardea purpurea bournei
Ardea purpurea purpurea
Ardea purpurea madagascariensis
Ardea purpurea manilensis",,,
94,Plain Prinia,Prinia inornata,Cisticolidae,Warbler,Least Concern (LC),Schedule IV,Resident,ফুটকি ,13–15 cm,"The Plain Prinia is a small, active warbler with a long tail often held cocked. It has brown upperparts, whitish underparts, and a faint supercilium. Plumage varies seasonally: in breeding plumage, the tail is shorter and more rounded, while in non-breeding plumage, the tail is longer and graduated. It is commonly found in grasslands, scrub, and agricultural fields.",Males in breeding season have shorter tails and may sing prominently from exposed perches.,"Females are similar to males, with slightly duller plumage and longer tails outside breeding season.","A sharp “chee-chee” or “zee-zee” call, often repeated rapidly.","Widely distributed across South and Southeast Asia, including India, Bangladesh, Nepal, Sri Lanka, Myanmar, Thailand, Cambodia, and Vietnam. Common in grasslands and paddy fields of West Bengal.",,"Several subspecies, including P. i. inornata (India), P. i. extensicauda (Myanmar).","Ashy Prinia (Prinia socialis) – darker plumage, shorter tail.",Builds oval nests in grass; highly vocal and conspicuous despite small size.,Images show small brown warbler with long tail perched in grasslands.
95,Purple Sunbird,Cinnyris asiaticus,Nectariniidae,Sunbird,Least Concern (LC),Schedule IV,Resident,দূর্গা টুনটুনি ,10–12 cm,"The Purple Sunbird is a small, active nectar-feeding bird with a slender down-curved bill. Males in breeding plumage are metallic purple-black with iridescent sheen, while females are olive-brown above and yellowish below. It is commonly seen hovering around flowers or perched while feeding on nectar, insects, and spiders.",Breeding males are glossy metallic purple-black with iridescent blue-green sheen; non-breeding males resemble females but retain some darker plumage.,"Females are olive-brown above, yellowish below, with a faint supercilium; lack iridescence.","High-pitched, rapid “chee-chee” notes and warbling song.","Widely distributed across South Asia and Southeast Asia, including India, Bangladesh, Nepal, Sri Lanka, Myanmar, and Thailand. Very common in gardens, villages, and forest edges of West Bengal.",,"Several subspecies, including C. a. asiaticus (India), C. a. brevirostris (Sri Lanka).","Loten’s Sunbird (Cinnyris lotenius) – longer bill, different song.",Highly adapted to urban habitats; important pollinator of flowering plants; breeds in hanging nests built from cobwebs and plant fibers.,Images show iridescent male in breeding plumage and olive-yellow female feeding on flowers.
96,Peregrine Falcon,Falco peregrinus,Falconidae,Raptor,Least Concern (LC),Schedule I,Migratory,বহেরি ,34–50 cm; wingspan 80–120 cm,"The Peregrine Falcon is a powerful raptor, famous as the fastest bird in the world, capable of diving at speeds over 300 km/h. It has blue-grey upperparts, barred underparts, and a distinctive dark “moustache” mark on the face. It feeds mainly on medium-sized birds, hunting them in spectacular aerial stoops.","Males are smaller, with blue-grey back, barred underparts, and dark facial markings.","Females are larger, similar plumage, with heavier build and broader wings.","Harsh “kek-kek-kek” calls, especially near nesting sites.","Found worldwide, except Antarctica. In India, including West Bengal, it is a winter visitor, seen in open landscapes, wetlands, and near rivers.",,"Numerous subspecies globally (e.g., F. p. peregrinus, F. p. calidus, F. p. anatum).",Shaheen Falcon (Falco peregrinus shaheen) – resident subspecies in South Asia; Eurasian Hobby (Falco subbuteo).,Known for speed and hunting skill; used historically in falconry; plays ecological role in controlling bird populations.,"Images show blue-grey falcon with barred underparts, diving or perched with dark moustache mark."
97,Red-wattled Lapwing,Vanellus indicus,Charadriidae,Lapwing,Least Concern (LC),Schedule-II,Resident, হটিটী (Lal Lotika Hot-ti-ti),32-35 cm,"The Red-wattled Lapwing is a distinctive wader found in Asia, recognizable by its black breast, red bill with a black tip, red wattles in front of its eyes, and long yellow legs. It has bold white and black markings, including a white patch on its cheek and contrasting black flight feathers in flight.",Males tend to have a slightly longer wing (about 5% longer) and a more pronounced carpal spur.,Both sexes have similar plumage.,,The Red-wattled Lapwing is found throughout the Indian subcontinent,,"Vanellus indicus aigneri
Vanellus indicus indicus
Vanellus indicus lankae
Vanellus indicus atronuchalis",,,
98,Red-vented Bulbul,Pycnonotus cafer,Pycnonotidae,Songbird,Least Concern (LC),Schedule IV,Resident,বুলবুলি ,20 cm,"The Red-vented Bulbul is a medium-sized, active songbird with a dark brown body, black head, short crest, and a distinctive crimson patch under the tail (“red vent”). It is highly adaptable, thriving in gardens, villages, and urban areas. It feeds on fruits, nectar, and insects, and is known for its loud, varied calls.","Males and females look alike; both have black heads, short crests, and red vents.",Females are similar to males; sexual dimorphism is minimal.,"Loud, varied calls including whistles, chattering, and harsh notes.","Widely distributed across South Asia, including India, Bangladesh, Nepal, Sri Lanka, and Pakistan. Very common in West Bengal’s gardens, villages, and urban habitats.",,"Several subspecies, including P. c. cafer (India), P. c. humayuni (Pakistan).","Black-crested Bulbul (Pycnonotus flaviventris), White-eared Bulbul (Pycnonotus leucotis).",Highly adaptable; considered invasive in some regions outside native range; important seed disperser.,"Images show dark brown bird with black head, short crest, and red patch under tail."
99,Red-wattled Lapwing,Vanellus indicus,Charadriidae,Shorebird,Least Concern (LC),Schedule IV,Resident,লাল ঝুঁটি টিটি (Lal Jhuti Titi),33–36 cm,"The Red-wattled Lapwing is a striking shorebird with brown wings and back, black head, breast, and throat, white belly, and a prominent red wattle in front of each eye. It has long yellow legs and a sharp, pointed bill tipped with red. Known for its loud, piercing “did-he-do-it” calls, it is often seen in open fields, wetlands, and agricultural landscapes.",Males and females look alike; both have distinctive red wattles and similar plumage.,Females are similar to males; sexual dimorphism is minimal.,"Loud, repetitive “did-he-do-it” call, often given in alarm.","Widely distributed across South Asia, including India, Bangladesh, Nepal, Sri Lanka, and Pakistan. Common in wetlands, riverbanks, and agricultural fields of West Bengal.",,Monotypic (no recognized subspecies).,"Yellow-wattled Lapwing (Vanellus malabaricus) – smaller, with yellow wattles.",Nests on bare ground; eggs camouflaged against soil. Highly vocal and aggressive in defending nests.,"Images show shorebird with red wattles, black head, and yellow legs in open fields."
100,Red-whiskered Bulbul,Pycnonotus jocosus,Pycnonotidae,Songbird,Least Concern (LC),Schedule IV,Resident,সিপাই বুলবুল,20 cm,"The Red-whiskered Bulbul is a medium-sized, lively songbird with brown upperparts, white underparts, a black crest, and a distinctive red patch below the eye (“whisker”) along with a red vent. It is highly social and often seen in pairs or small groups in gardens, orchards, and forest edges. It feeds on fruits, nectar, and insects, and is known for its cheerful, varied calls.","Males and females look alike; both have black crests, red whisker patches, and red vents.",Females are similar to males; sexual dimorphism is minimal.,"Varied, melodious calls including whistles, chattering, and trills.","Widely distributed across South and Southeast Asia, including India, Bangladesh, Nepal, Sri Lanka, Myanmar, and Thailand. Common in West Bengal’s gardens, villages, and forest edges.",,"Several subspecies, including P. j. jocosus (India), P. j. emeria (China).",Red-vented Bulbul (Pycnonotus cafer) – lacks red whisker patch.,Popular cage bird in many regions; important seed disperser; highly adaptable to human-modified landscapes.,"Images show brown bird with black crest, red whisker patch, and red vent perched in gardens."
101,Rock Pigeon,Columba livia,Columbidae,Pigeon,Least Concern (LC),Schedule IV,Resident,গোলা পায়রা ,32–34 cm; wingspan 64–72 cm,"The Rock Pigeon is a stout-bodied bird with bluish-grey plumage, two black wing bars, and iridescent feathers on the neck. It is highly adaptable, thriving in urban areas, villages, and cliffs. It feeds on grains, seeds, and scraps, and is one of the most familiar birds worldwide. Domesticated forms have given rise to numerous fancy pigeon breeds.","Males are slightly larger, with more iridescent sheen on the neck; often perform courtship displays with bowing and cooing.","Females are similar but slightly smaller, with less iridescence; generally less vocal in courtship.","Soft cooing calls, especially during courtship and nesting.","Native to Europe, North Africa, and South Asia, but now found worldwide due to domestication and feral populations. Very common in West Bengal’s towns, villages, and agricultural areas.",,"Several subspecies, including C. l. livia (Europe), C. l. intermedia (India).",Domestic pigeon breeds; similar to Stock Dove (Columba oenas).,Important in human culture as messenger and racing birds; considered pests in some urban areas due to droppings.,Images show bluish-grey pigeon with black wing bars and iridescent neck feathers.
102,Rose-ringed Parakeet,Psittacula krameri,Psittaculidae,Parakeet,Least Concern (LC),Schedule IV,Resident,টিয়া (Tiya),40 cm; wingspan ~47 cm,"The Rose-ringed Parakeet is a medium-sized, bright green parakeet with a long tail and red bill. Males have a distinctive black and rose-colored ring around the neck, while females and juveniles lack the ring. It is highly adaptable, thriving in forests, farmlands, and urban areas. It feeds on seeds, fruits, and crops, and is known for its loud, screeching calls.","Males have a black and rose-pink collar around the neck, bright green plumage, and red bill.",Females and juveniles lack the neck ring; otherwise similar in plumage.,"Loud, harsh screeches and chattering calls.","Widely distributed across South Asia, including India, Bangladesh, Nepal, Sri Lanka, and Pakistan. Common in West Bengal’s villages, towns, and agricultural fields. Also introduced in Europe, Middle East, and Africa.",,"Several subspecies, including P. k. manillensis (India), P. k. borealis (North India).","Alexandrine Parakeet (Psittacula eupatria) – larger, with maroon shoulder patch.",Popular as a pet worldwide; considered a crop pest in some regions; nests in tree cavities.,"Images show bright green parakeet with long tail and red bill, males with rose-colored neck ring."
103,Ruddy-breasted Crake,Zapornia fusca,Rallidae,Crake,Least Concern (LC),Schedule IV,Resident with local movements,লাল আলতী ,22–24 cm,"The Ruddy-breasted Crake is a small, secretive waterbird with chestnut-brown upperparts, rich rufous breast, and dark brown wings. It has a short tail, red eyes, and greenish legs. It prefers dense marsh vegetation, reed beds, and paddy fields, where it skulks and feeds on insects, mollusks, and seeds.",Males and females look alike; both have rufous breast and chestnut-brown plumage.,Females are similar to males; sexual dimorphism is minimal.,"Harsh, repeated “krrr-krrr” calls, often at dusk.","Widely distributed across South and Southeast Asia, including India, Bangladesh, Nepal, Sri Lanka, Myanmar, Thailand, and Indonesia. In West Bengal, found in wetlands, marshes, and paddy fields.",,Monotypic (no recognized subspecies).,"Baillon’s Crake (Zapornia pusilla) – smaller, paler; Brown Crake (Zapornia akool) – larger, darker.",Very secretive; often detected by call rather than sight. Breeds in monsoon season in marsh vegetation.,Images show small crake with rufous breast and chestnut-brown plumage in marshy habitat.
104,Rufous Treepie,Dendrocitta vagabunda,Corvidae,Songbird,Least Concern (LC),Schedule IV,Resident,হাঁড়িচাচা ,46–50 cm,"The Rufous Treepie is a medium-sized, long-tailed bird with a rich rufous back and belly, black head, and bluish-grey wings with white patches. It is highly vocal and inquisitive, often seen in gardens, forests, and villages. It feeds on fruits, insects, nectar, and occasionally small vertebrates. Known for its adaptability and boldness, it is a familiar bird across much of India.","Males and females look alike; both have rufous body, black head, and long graduated tail.",Females are similar to males; sexual dimorphism is minimal.,"Loud, varied calls including harsh “ka-ka-ka” and melodious whistles.","Widely distributed across the Indian subcontinent, including India, Bangladesh, Nepal, and Sri Lanka. Common in West Bengal’s forests, villages, and urban gardens.",,Monotypic (no recognized subspecies).,Common in the same habitats as Greater Racket-tailed Drongo (Dicrurus paradiseus).,Often part of mixed-species flocks; bold and opportunistic feeder; plays a role in seed dispersal.,Images show rufous-bodied bird with black head and long tail perched in trees.
105,Streak-throated Woodpecker,Picus xanthopygaeus,Picidae,Woodpecker,Least Concern (LC),Schedule IV,Resident,সবুজ  কাঠঠোকরা ,28–30 cm,"The Streak-throated Woodpecker is a medium-sized green woodpecker with a streaked throat, olive-green upperparts, and yellowish rump. It has a strong bill for drilling into wood and feeds mainly on ants, termites, and other insects. Prefers open forests, wooded groves, and agricultural landscapes.","Males have a red crown and nape, along with streaked throat and green plumage.","Females lack the red crown, showing black crown instead; otherwise similar plumage.","Loud, ringing “kik-kik-kik” calls, often repeated.","Found across the Indian subcontinent, including India, Nepal, Bangladesh, and Sri Lanka. In West Bengal, common in forest edges, groves, and rural woodlands.",,Monotypic (no recognized subspecies).,Similar to Black-headed Woodpecker (Picus erythropygius) – differs in head coloration.,Often seen foraging on tree trunks and branches; plays ecological role in controlling insect populations.,"Images show green woodpecker with streaked throat, perched on tree trunks."
106,Scaly-breasted Munia,Lonchura punctulata,Estrildidae,Finch,Least Concern (LC),Schedule IV,Resident,তেলে মুনিয়া ,11–12 cm,"The Scaly-breasted Munia is a small, gregarious finch with brown upperparts and distinctive scaly markings on the breast and belly. It has a short, thick bill adapted for seed eating. Found in flocks, it frequents grasslands, paddy fields, and scrub habitats, feeding mainly on grass seeds and grains. It is also popular as a cage bird.",Males and females look alike; both have brown plumage with scaly underparts.,Females are similar to males; sexual dimorphism is minimal.,Soft twittering and chattering calls; musical warbles in flocks.,"Widely distributed across South and Southeast Asia, including India, Bangladesh, Nepal, Sri Lanka, Myanmar, Thailand, and Indonesia. Common in agricultural fields and grasslands of West Bengal.",,"Several subspecies, including L. p. punctulata (India), L. p. subundulata (Sri Lanka).",Chestnut Munia (Lonchura atricapilla) – darker head; White-rumped Munia (Lonchura striata).,Often seen in large flocks; important seed disperser; nests in grass or shrubs.,"Images show small brown finch with scaly breast, perched in grasslands or feeding in flocks."
107,Shikra,Accipiter badius,Accipitridae,Hawks & Eagles,Least Concern (LC),Schedule-I,Resident,"শিকরা, ছোট শিকরা (Choto Shikra)",26-30 cm,"The Shikra is a small, agile bird of prey found in Asia and Africa, known for its stealthy hunting of small birds, rodents, and lizards. Adult males are slate-gray above with rufous barring below, while females are larger and browner. They have striking yellow or orange eyes and a distinctive ""kee-kee-kee"" call.","The male Shikra has a reddish iris and blue-grey upperparts. Its underparts display fine brownish-orange barring. Males are smaller in size, with a wingspan ranging from 48 to 56 cm.","The female Shikra has a yellowish to deep yellow-orange iris and brownish-grey upperparts. Her underparts often have heavier barring compared to males. Females are slightly larger than males, with a wingspan of 56 to 68 cm.",,"The Shikra is widespread across India, inhabiting both forested areas and open country, including urban gardens and agricultural lands. ",,"Tachyspiza badia sphenura
Tachyspiza badia polyzonoides
Tachyspiza badia cenchroides
Tachyspiza badia dussumieri
Tachyspiza badia badia
Tachyspiza badia poliopsis",,,
108,Spotted Owlet,Athene brama,Strigidae,Owl,Least Concern (LC),Schedule-II,Resident,কুটুরে পেঁচা ,21 cm,"The Spotted Owlet is a small, round-headed, uncrested owl with a compact body and short tail, identified by its grayish-brown plumage with white spots on the head and upperparts, streaked underparts, and bright yellow eyes. It has distinctive white eyebrows and a neck-band. This adaptable bird is crepuscular and nocturnal.","Males might have paler legs, also smalller in size.",Females tend to be slightly larger and heavier than males. Females may have darker legs.,,The Spotted Owlet is widely distributed across India.,,"Athene brama indica
Athene brama ultra
Athene brama brama
Athene brama pulchra
Athene brama mayri",,,
109,Stork-billed Kingfisher,Pelargopsis capensis,Alcedinidae,Kingfisher,Least Concern (LC),Schedule-II,Resident,গুড়িয়াল ,35 cm,"Stork-billed Kingfisher is a large kingfisher, characterized by its enormous, bright red bill. It has green upperparts, blue wings and tail, a buff-colored neck and underparts, and an olive-brown head. ",Males tend to be slightly larger and heavier. ,Female's bill may appear noticeably heavier or thicker compared to the male's. ,,"The Stork-billed Kingfisher has a wide distribution across India, particularly in the tropical subcontinent.",,"Pelargopsis capensis capensis
Pelargopsis capensis burmanica
Pelargopsis capensis intermedia
Pelargopsis capensis osmastoni
Pelargopsis capensis malaccensis
Pelargopsis capensis cyanopteryx
Pelargopsis capensis simalurensis
Pelargopsis capensis sodalis
Pelargopsis capensis innominata
Pelargopsis capensis floresiana
Pelargopsis capensis javana
Pelargopsis capensis gouldi
Pelargopsis capensis gigantea",,,
110,Tricolored Munia,Lonchura malacca,Estrildidae,Finch,Least Concern (LC),Schedule IV,Resident,শ্যামসুন্দর মুনিয়া,11–12 cm,"The Tricolored Munia is a small, striking finch with a black head and breast, chestnut upperparts, and white belly. It has a short, thick bill adapted for seed eating. Found in flocks, it frequents grasslands, paddy fields, and scrub habitats, feeding mainly on grass seeds and grains. It is also popular as a cage bird.","Males and females look alike; both have black head, chestnut back, and white underparts.",Females are similar to males; sexual dimorphism is minimal.,Soft twittering and chattering calls; musical warbles in flocks.,"Widely distributed across South and Southeast Asia, including India, Bangladesh, Nepal, Sri Lanka, Myanmar, and Thailand. Common in agricultural fields and grasslands of West Bengal.",,"Several subspecies, including L. m. malacca (India), L. m. formosana (Taiwan).",Chestnut Munia (Lonchura atricapilla) – darker overall; White-rumped Munia (Lonchura striata).,Often seen in large flocks; important seed disperser; nests in grass or shrubs.,"Images show small finch with black head, chestnut back, and white belly in grasslands."
111,Taiga Flycatcher,Ficedula albicilla,Muscicapidae,Flycatcher,Least Concern (LC),Schedule-II,Winter Migratory,তাইগা চুটকি (Taiga Chutki),12-13 cm,"The Taiga Flycatcher is a small, insectivorous bird breeding in the boreal forests of Eurasia and wintering in Southeast Asia. The breeding male has a distinct orange-red throat patch, surrounded by gray. The non-breeding male has less orange on the throat and darker flanks. Females are cold brown above with a dirty-white belly and lack the male's red throat. The bird has a dark bill and a characteristic black-and-white tail","The breeding male is recognized by its bright orange throat patch, a key identifying feature, bordered by a subtle grey wash. Its head and upperparts are a browner color, while the uppertail-coverts are distinctly blacker, giving it a sharper contrast. The non-breeding male shows a greatly reduced or entirely absent red-orange throat patch. Its flanks are more buffish and darker than those of the breeding male, making it appear duller overall.","The female lacks the orange throat patch and instead shows a plain white throat. Her upperparts are a colder, brownish shade, while the underparts appear generally dirty-white to buffish, giving her a more subdued look compared to the breeding male.",,"Northeast India, parts of Gujarat, and Kerala, with sightings also occurring in Telangana, West Bengal, Rajasthan, and Tripura",,Monotype,"Asian Brown Flycatcher
Blue-throated Flycatcher",,
112,Tufted Duck,Aythya fuligula,Anatidae,Duck,Least Concern (LC),Schedule-II,Winter Migratory,বামুনিয়া হাঁস ,40-47 cm,"The Tufted Duck is a medium-sized, black-and-white diving duck named for the distinctive tassel or crest of feathers on the back of the head, especially prominent in males. Males are glossy black with white flanks and a drooping crest, while females are a subdued brown with a shorter, wispier tuft and lighter flanks. Both sexes have golden-yellow eyes, a blue-grey bill, and show a bold white stripe on their wings in flight.","The male Tufted Duck is primarily black in plumage, contrasted by striking, bright white flanks. It has a long, drooping tuft on the back of its head, giving it a distinctive appearance. Its eyes are a vivid golden-yellow, and the bill is blue-grey with a black tip and a noticeable pale band.","The female Tufted Duck is overall dark brown, with a shorter and less prominent tuft compared to the male. Like the male, she has piercing golden-yellow eyes. Her bill also shows a broad black tip with a pale band, though it is generally less striking than in the male.",,"The Tufted Duck is a winter visitor and is distributed across most of India, except for the high Himalaya and Thar Desert",,Monotype,"Garganey
Gadwall",,
113,White Wagtail,Motacilla alba,Motacillidae,Wagtail,Least Concern (LC),Schedule-II,Partially Migratory,শ্বেত খঞ্জন ,16–19 cm,"White Wagtail has a slender body with a distinctive long, constantly wagging tail and bold black, white, and gray plumage that varies across its vast Eurasian and North African range. This insectivorous bird prefers open areas like wetlands, farmlands, and even urban paved spaces, often seen foraging in open country near water or human habitation. It's easily identified by its characteristic tail- pumping movement and is often found alone, in pairs, or small groups.","Breeding Plumage: A prominent black crown and nape, a distinctive black throat bib, and black markings on the belly. The black is deep and contrasts sharply with white and grey areas. Non-breeding Plumage: The black markings, particularly on the head and throat, become duller and more greyish, and some white appears on the forehead.","Breeding Plumage: The head is duller and more greyish than the male's. The black areas are replaced by dark or medium grey. Non-breeding Plumage: The crown and nape are washed with olive-grey, with the chin, throat, and breast appearing white with some black mottling.",,"The White Wagtail is found throughout India in open wetlands and urban environments, extending from Gujarat and Ladakh to the southern tip of the peninsula and the Northeast states like Arunachal Pradesh, though it is scarce in the south.",,"Motacilla alba alba
Motacilla alba dukhunensis
Motacilla alba yarrellii
Motacilla alba ocularis
Motacilla alba subpersonata
Motacilla alba personata
Motacilla alba baicalensis
Motacilla alba lugens
Motacilla alba leucopsis
Motacilla alba alboides",,,
114,White-throated Kingfisher,Halcyon smyrnensis,Alcedinidae,Kingfisher,Least Concern (LC),Schedule-II,Generally Resident,সাদাবুক মাছরাঙা (Sadabuk Machhranga),27-28 cm,"The White-throated Kingfisher is a medium-sized, striking bird with a chestnut-brown body, a bright electric-blue back and wings, and a prominent snow-white patch from its throat across its breast. It has a large head, a long, heavy, pointed bill, and red legs. Juvenile birds are a duller version of the adult, with dark scaly markings on the neck and breast. ",Females tend to have a slightly greener back and wings.,Males have bluer back and wings.,,"White-throated Kingfisher is widely distributed across almost all Indian states, from the Himalayan foothills to the peninsula, and can be found from Uttarakhand to West Bengal and down through the western part of the peninsula. ",,"Halcyon smyrnensis smyrnensis
Halcyon smyrnensis fusca
Halcyon smyrnensis saturatior
Halcyon smyrnensis perpulchra
Halcyon smyrnensis fokiensis",,The White-throated Kingfisher is the state bird of West Bengal.,
115,Western Yellow Wagtail,Motacilla flava,Motacillidae,Wagtail,Least Concern (LC),Schedule IV,Migratory,হলুদ খঞ্জন (Holud Khanjan),16–18 cm,"The Western Yellow Wagtail is a small, slender bird with bright yellow underparts and olive-green upperparts. It is highly migratory, breeding in Europe and Central Asia and wintering in South Asia, including India. It is often seen in open fields, wetlands, and agricultural landscapes, walking or running while wagging its tail.","Breeding males have bright yellow underparts, olive-green back, and variable head patterns depending on subspecies.","Females and non-breeding males are duller, with paler yellow underparts and less distinct head markings.",High-pitched “tswee-tswee” calls; sharp flight notes.,"Breeds across Europe and Central Asia; winters in South Asia, including India, Bangladesh, Nepal, and Sri Lanka. In West Bengal, common in paddy fields, wetlands, and open countryside during winter migration.",,"Numerous subspecies (e.g., M. f. flava, M. f. thunbergi, M. f. beema) with varying head patterns.","Eastern Yellow Wagtail (Motacilla tschutschensis), Citrine Wagtail (Motacilla citreola).",Highly variable plumage; important indicator of seasonal migration; feeds on insects in open habitats.,"Images show bright yellow wagtail in fields or wetlands, often wagging tail."
116,White-breasted Waterhen,Amaurornis phoenicurus,Rallidae,Waterbird,Least Concern (LC),Schedule IV,Resident,ডাহুক ,32–36 cm,"The White-breasted Waterhen is a medium-sized, rail-like bird with slate-grey body, white face, throat, and breast, and reddish undertail coverts. It has long yellowish legs and a short tail often flicked while walking. It is commonly found in marshes, wetlands, paddy fields, and village ponds, feeding on insects, mollusks, seeds, and small aquatic creatures.","Males and females look alike; both have slate-grey plumage, white breast, and reddish undertail.",Females are similar to males; sexual dimorphism is minimal.,"Loud, harsh “kroak-kroak” calls, especially at dawn and dusk.","Widely distributed across South and Southeast Asia, including India, Bangladesh, Nepal, Sri Lanka, Myanmar, Thailand, and Indonesia. Very common in wetlands and paddy fields of West Bengal.",,Monotypic (no recognized subspecies).,"Brown Crake (Zapornia akool) – darker overall; Ruddy-breasted Crake (Zapornia fusca) – smaller, rufous breast.",Bold and conspicuous compared to other crakes; often seen walking openly near water edges.,Images show slate-grey waterbird with white breast and reddish undertail near wetlands.
117,Yellow Bittern,Ixobrychus sinensis,Ardeidae,Heron,Least Concern (LC),Schedule IV,Migratory,হলুদ বক (Holud Bok),38–40 cm,"The Yellow Bittern is a small, secretive heron with buff-yellow plumage, chestnut crown, and pale underparts. It has a short neck and is often seen skulking in reed beds and marshes. It feeds on fish, frogs, insects, and aquatic invertebrates. Its cryptic coloration makes it difficult to spot, as it often freezes with neck stretched upward, resembling reeds.",Males have richer chestnut crown and darker flight feathers; overall buff-yellow plumage.,"Females are paler, with less chestnut on crown and duller wings.","Soft “krek-krek” calls, often at dusk.","Breeds across East and South Asia, including China, Japan, and Southeast Asia. Migrates southwards in winter. In India, including West Bengal, it is a winter visitor found in marshes, wetlands, and paddy fields.",,Monotypic (no recognized subspecies).,"Little Bittern (Ixobrychus minutus) – smaller, darker; Cinnamon Bittern (Ixobrychus cinnamomeus) – more rufous overall.",Very secretive; often detected only when flushed from reeds. Breeds in dense marsh vegetation.,"Images show small buff-yellow heron with chestnut crown, standing among reeds."
